Date,ONGC,Reliance,BPCL,IndiGo,Maruti,Mahindra,Asian Paints,Pidilite,HUL,ITC,HDFC Bank,SBI,TCS,Infosys
2007-01-02,64.43087768554688,127.48949432373047,11.895676612854004,,841.2911987304688,189.7849884033203,61.28797912597656,26.538982391357422,145.83815002441406,32.568450927734375,46.1370735168457,93.45758819580078,207.7081298828125,185.48556518554688
2007-01-03,64.11124420166016,127.852783203125,12.025558471679688,,846.4592895507812,185.81704711914062,61.30454635620117,26.62550163269043,142.87281799316406,32.28323745727539,45.93442153930664,94.30004119873047,212.97372436523438,188.64414978027344
2007-01-04,64.24718475341797,127.44970703125,12.292440414428711,,840.2056274414062,184.4048614501953,62.0120964050293,26.647127151489258,141.92935180664062,31.08722496032715,45.27684783935547,92.67103576660156,209.46339416503906,186.51805114746094
2007-01-05,65.77924346923828,128.2110595703125,12.532628059387207,,812.0641479492188,178.31871032714844,61.970699310302734,26.593053817749023,143.7825927734375,30.415613174438477,45.57221603393555,92.75303649902344,210.12054443359375,185.681396484375
2007-01-08,66.95124816894531,127.08639526367188,12.527292251586914,,779.92724609375,178.71653747558594,60.30735778808594,26.62550163269043,141.5923614501953,29.93720245361328,44.194580078125,90.486572265625,206.92630004882812,180.01318359375
2007-01-09,67.3406753540039,127.23072052001953,12.285320281982422,,769.9387817382812,177.37393188476562,59.587379455566406,26.58224105834961,141.42384338378906,29.817611694335938,43.718109130859375,87.5938720703125,209.02247619628906,178.74810791015625
2007-01-10,65.43757629394531,126.7181396484375,12.2764253616333,,764.770751953125,174.3209228515625,59.63703918457031,26.593053817749023,140.51402282714844,30.0200138092041,43.060546875,84.72354125976562,205.5287322998047,176.65464782714844
2007-01-11,67.20476531982422,129.04217529296875,12.619806289672852,,786.7454223632812,181.18283081054688,60.23701095581055,26.690383911132812,146.8153076171875,31.133228302001953,42.95275115966797,85.54736328125,212.55784606933594,178.1686553955078
2007-01-12,67.8697509765625,133.322021484375,13.089513778686523,,801.1201782226562,185.65792846679688,59.0618896484375,27.78265953063965,148.06201171875,31.482826232910156,45.774879455566406,91.36260986328125,220.26051330566406,181.46595764160156
2007-01-15,67.3149642944336,135.85508728027344,12.725969314575195,,787.527099609375,189.12864685058594,64.54852294921875,27.501482009887695,149.37628173828125,31.6484317779541,47.17192459106445,91.12403106689453,220.6597442626953,183.0615234375
2007-01-16,67.59785461425781,134.06356811523438,12.574031829833984,,790.9580688476562,196.1595458984375,65.23535919189453,27.23111343383789,148.2642059326172,31.584028244018555,47.26247787475586,90.19581604003906,220.2854461669922,181.3679962158203
2007-01-17,65.7682113647461,134.3521728515625,13.02078628540039,,789.3077392578125,191.57504272460938,66.5966796875,26.528165817260742,148.66860961914062,31.18842124938965,45.755470275878906,91.14639282226562,217.04959106445312,180.00096130371094
2007-01-18,67.2194595336914,136.0989532470703,13.237829208374023,,797.9065551757812,192.6092987060547,66.88216400146484,26.668760299682617,150.95997619628906,31.68523597717285,45.751163482666016,91.62727355957031,218.8463592529297,181.5271453857422
2007-01-19,65.86006164550781,137.62673950195312,13.232401847839355,,792.3911743164062,185.72756958007812,66.14981079101562,26.593053817749023,149.44363403320312,32.310848236083984,46.06808090209961,90.97865295410156,215.96820068359375,179.74794006347656
2007-01-22,65.72412872314453,136.7408905029297,13.281238555908203,,815.408203125,184.60377502441406,66.0835952758789,26.5497989654541,151.36428833007812,32.92725372314453,45.546348571777344,91.29551696777344,219.01991271972656,183.96339416503906
2007-01-23,65.53673553466797,135.41714477539062,12.924921989440918,,798.1671752929688,183.20155334472656,65.23535919189453,26.441654205322266,149.74685668945312,32.61444854736328,44.5373649597168,87.53052520751953,217.22720336914062,182.42495727539062
2007-01-24,67.06881713867188,136.30796813964844,12.778419494628906,,811.3692626953125,180.64576721191406,65.41329956054688,26.182098388671875,144.490234375,32.79844665527344,45.63905715942383,87.41868591308594,217.9693145751953,182.335205078125
2007-01-25,67.68605041503906,136.41746520996094,12.98099136352539,,823.4423217773438,183.4302978515625,66.41051483154297,26.160470962524414,145.7369842529297,32.724849700927734,45.96891403198242,87.7094497680664,219.35330200195312,182.90240478515625
2007-01-29,67.37008666992188,137.5819854736328,13.134732246398926,,813.7144775390625,184.0469207763672,66.19945526123047,25.922550201416016,144.86090087890625,31.59322738647461,45.809364318847656,86.19598388671875,216.40182495117188,183.17987060546875
2007-01-31,66.9696273803711,136.00439453125,13.037062644958496,,803.3350830078125,179.22369384765625,65.86431884765625,25.846851348876953,140.3455810546875,32.1268424987793,46.507896423339844,85.02550506591797,213.09178161621094,183.41656494140625
2007-02-01,66.92918395996094,137.11415100097656,12.948436737060547,,816.66748046875,180.28778076171875,65.79396057128906,25.641374588012695,139.70535278320312,32.17284393310547,47.600955963134766,89.6888656616211,215.4513397216797,185.18356323242188
2007-02-02,66.53974151611328,136.86036682128906,12.74947738647461,,820.4458618164062,181.82923889160156,65.17330932617188,25.608928680419922,140.8846893310547,32.59604263305664,47.69365310668945,88.0523910522461,216.86036682128906,184.90609741210938
2007-02-05,66.87043762207031,138.0845489501953,12.975565910339355,,836.6445922851562,186.53306579589844,64.41197204589844,25.29530143737793,140.0760498046875,32.6788444519043,47.57508087158203,89.24524688720703,217.74412536621094,185.21214294433594
2007-02-06,66.7344741821289,138.26873779296875,12.84352970123291,,827.3073120117188,186.8612518310547,63.811973571777344,25.16553497314453,140.91844177246094,32.20964813232422,46.969261169433594,89.20426940917969,216.51011657714844,185.510009765625
2007-02-07,65.53673553466797,138.83609008789062,12.508925437927246,,826.5256958007812,187.87562561035156,63.49338150024414,25.24123191833496,139.73904418945312,32.32924270629883,47.51472091674805,89.09614562988281,217.82749938964844,192.37403869628906
2007-02-08,65.6910629272461,139.05003356933594,12.646387100219727,,836.0364990234375,185.25021362304688,66.22014617919922,27.101341247558594,138.55966186523438,32.46723175048828,47.853206634521484,89.85660552978516,217.5272979736328,193.73292541503906
2007-02-09,64.94890594482422,138.52749633789062,12.451047897338867,,817.9268798828125,182.9927520751953,65.5167465209961,26.128026962280273,136.6053009033203,32.458038330078125,48.025672912597656,89.4391098022461,214.6759796142578,192.71678161621094
2007-02-12,63.69240951538086,135.25791931152344,12.00429916381836,,792.1306762695312,175.18614196777344,65.11952209472656,25.17634391784668,137.04339599609375,32.26483917236328,47.26031494140625,88.24996185302734,209.40652465820312,191.900634765625
2007-02-13,65.07384490966797,135.95962524414062,11.888542175292969,,773.8040161132812,172.19276428222656,64.92089080810547,25.30611801147461,135.4595947265625,31.869239807128906,46.081016540527344,87.48206329345703,208.9229736328125,188.06056213378906
2007-02-14,66.19072723388672,137.05943298339844,11.734803199768066,,744.403076171875,170.19390869140625,64.3995590209961,24.970867156982422,135.08892822265625,32.00723648071289,43.8625602722168,82.18124389648438,210.23204040527344,186.4649658203125
2007-02-15,66.59119415283203,140.03541564941406,11.859602928161621,,774.9766235351562,179.39276123046875,65.31398010253906,25.522411346435547,138.79551696777344,32.062435150146484,44.92112350463867,83.69469451904297,215.48463439941406,194.48785400390625
2007-02-19,66.58384704589844,141.408935546875,12.136336326599121,,793.9111938476562,177.78173828125,65.37603759765625,25.47915267944336,138.29010009765625,32.09004592895508,44.552452087402344,84.4029541015625,218.4112091064453,193.92880249023438
2007-02-20,64.37944793701172,140.79681396484375,12.00429916381836,,775.41064453125,175.1960906982422,63.02583694458008,25.522411346435547,134.51609802246094,32.35684585571289,44.4813117980957,82.58757019042969,216.7019805908203,192.61061096191406
2007-02-21,64.14798736572266,140.01548767089844,12.15442180633545,,780.10107421875,177.57289123535156,62.71135711669922,25.587299346923828,131.98886108398438,32.099246978759766,43.808658599853516,82.44961547851562,214.0839385986328,188.6073760986328
2007-02-22,62.8253288269043,140.54306030273438,11.903013229370117,,764.33642578125,173.5353240966797,62.487945556640625,25.47915267944336,129.0236053466797,32.099246978759766,42.5711555480957,80.373291015625,215.8264617919922,186.69757080078125
2007-02-23,60.988338470458984,140.6624755859375,11.477971076965332,,750.0051879882812,170.22372436523438,60.61767578125,25.273679733276367,126.79962921142578,30.73762321472168,41.31639099121094,78.89338684082031,213.00003051757812,182.6330108642578
2007-02-26,61.330020904541016,139.99559020996094,11.411048889160156,,762.8599853515625,170.13424682617188,60.54732894897461,24.797842025756836,127.74312591552734,31.335630416870117,41.038272857666016,81.14494323730469,214.4591827392578,181.03750610351562
2007-02-27,60.091915130615234,139.88612365722656,11.188577651977539,,770.4598388671875,168.6524658203125,60.5721549987793,24.505840301513672,124.97999572753906,30.397214889526367,42.07959747314453,79.70976257324219,210.79898071289062,178.4950714111328
2007-02-28,57.90585708618164,134.61595153808594,11.25911808013916,,731.070556640625,161.37290954589844,60.994205474853516,24.159772872924805,118.84729766845703,31.59322738647461,40.31604766845703,77.6744384765625,199.0012664794922,169.5621795654297
2007-03-01,58.486358642578125,136.1337890625,11.210283279418945,,730.375732421875,160.1497039794922,59.35980224609375,23.802894592285156,118.64508819580078,31.740432739257812,42.26932144165039,78.70328521728516,209.21482849121094,176.22207641601562
2007-03-02,58.70311737060547,131.0029296875,10.85396957397461,,723.600830078125,153.2480926513672,58.08952331542969,23.867782592773438,120.66686248779297,30.673213958740234,40.42815017700195,74.9196548461914,201.52752685546875,170.86398315429688
2007-03-05,56.80365753173828,125.3445816040039,10.457864761352539,,671.3134765625,141.05584716796875,54.266258239746094,23.79207992553711,117.29723358154297,29.836009979248047,40.016361236572266,71.76226043701172,192.68968200683594,163.81642150878906
2007-03-06,56.502410888671875,129.1765594482422,10.971531867980957,,687.6856079101562,144.2282257080078,56.537872314453125,23.846149444580078,115.5787124633789,29.817611694335938,40.01205062866211,73.66339874267578,199.64328002929688,172.5738525390625
2007-03-07,56.20113754272461,128.26087951660156,10.85396957397461,,673.0070190429688,151.3685302734375,54.72142028808594,23.79207992553711,112.74820709228516,29.109193801879883,39.477378845214844,71.90019226074219,198.73455810546875,170.1987762451172
2007-03-08,57.27761459350586,132.92886352539062,10.850350379943848,,688.2068481445312,152.2735137939453,57.37782669067383,25.38182258605957,123.86807250976562,29.431201934814453,42.00413513183594,74.50215148925781,203.16998291015625,174.312255859375
2007-03-09,57.56418228149414,131.20201110839844,10.736406326293945,,683.7338256835938,145.96856689453125,56.6247673034668,25.544042587280273,123.83432006835938,28.363988876342773,42.12271499633789,73.26081848144531,202.12789916992188,173.1043701171875
2007-03-12,58.31366729736328,130.9532012939453,10.989624977111816,,692.33251953125,146.833740234375,57.72126007080078,24.65724754333496,124.67676544189453,27.342777252197266,40.96497344970703,72.63082885742188,205.93820190429688,172.6432342529297
2007-03-13,59.309329986572266,132.052978515625,10.986003875732422,,696.1976318359375,151.2292938232422,57.65092468261719,24.59235382080078,122.08213806152344,27.40717315673828,41.40047073364258,73.09305572509766,211.0074005126953,171.80665588378906
2007-03-14,57.413543701171875,127.93241882324219,10.687569618225098,,687.6856079101562,148.99176025390625,57.100608825683594,24.0516300201416,119.18424224853516,26.293956756591797,40.22764587402344,70.67749786376953,202.36129760742188,164.86517333984375
