Date,garch_vol,garch_vol_lag1,garch_vol_lag5,garch_vol_lag10,garch_vol_lag21,rolling_vol_5,rolling_vol_21,rolling_vol_63,vol_ratio,momentum_5,momentum_21,regime_encoded
2007-10-29,1.8499026663067355,1.8858960858236768,1.6484217216874684,1.6509652694789627,1.6026639541449217,1.4939708185564198,1.6008664807461594,1.5175159230078288,0.9844844432309212,1.647488237836543,0.64157694768084,2.0
2007-10-30,1.853423885465282,1.8499026663067355,1.5961666803016563,1.7853493069391502,1.5786369067737198,2.5614697085837164,1.7208271866868716,1.5480458572923996,1.6546471776125804,1.110632567773528,0.5817621480707947,2.0
2007-11-09,2.073044823868268,2.165421874950326,2.157165726483752,1.8858960858236768,1.679600054435496,1.7641849405674297,1.852170278601027,1.5275258298329326,1.154929694878142,0.25011678644435875,0.736120379646954,2.0
2007-11-12,1.982904897332733,2.073044823868268,2.2053695687398998,1.8499026663067355,1.7157418732008132,1.6483381808372144,1.9039277171374882,1.5433367209916047,1.0680353538002683,0.3379041638017033,0.6510302426992871,2.0
2007-11-13,1.9397953408211983,1.982904897332733,2.174125868499684,1.853423885465282,1.6509652694789627,1.516246565126395,2.0368892633810223,1.610472731307584,0.9414916102896792,-0.9592509535931226,0.357893194174917,2.0
2007-11-19,2.103311346101449,2.151442726865503,1.982904897332733,2.2053695687398998,1.687167917478816,2.4607939928730653,2.0988198859874756,1.5833422756814364,1.5541769020308591,0.08949669873826727,0.48156934405219703,2.0
2007-11-20,2.01846698198694,2.103311346101449,1.9397953408211983,2.174125868499684,1.6484217216874684,1.8592694184767211,2.1802272525205333,1.6264075926710806,1.1431755648799002,1.4701370357680155,0.6767668119585919,2.0
2007-11-23,2.107939495303388,2.196657033209416,2.216548176801912,2.165421874950326,1.54348030437303,1.5105873757126487,2.1703590577752587,1.6261234568706207,0.9289499941287888,1.2057543345840682,0.6271999006417527,2.0
2007-11-26,2.031957048608922,2.107939495303388,2.151442726865503,2.073044823868268,1.5820861446343095,1.6574426923087275,2.064152543291682,1.6305872613892076,1.0164697907038964,0.8057560474557726,0.4297889699170581,2.0
2007-11-27,1.947709118294532,2.031957048608922,2.103311346101449,1.982904897332733,1.8858960858236768,2.3620440722339855,2.1766384867175748,1.6817815298593048,1.404489245658198,0.07418817466372962,0.22404377083741794,1.0
2007-11-28,2.0772441178091428,1.947709118294532,2.01846698198694,1.9397953408211983,1.8499026663067355,1.6981995839938102,2.2473417772134088,1.7185027940247966,0.9881855239912438,-1.2073394543930127,-0.0029540671436831915,2.0
2007-11-30,2.089006670234447,2.185652218822884,2.107939495303388,2.216548176801912,2.035201957265901,1.5340117650384233,2.0276059356485616,1.7433480424199508,0.8799228425490146,-1.6083999877898925,-0.10654898289503988,2.0
2007-12-03,2.109094078134679,2.089006670234447,2.031957048608922,2.151442726865503,2.235717293651951,2.1427321594297193,2.055309991098285,1.7440283090420174,1.228610882243481,-1.1675339178787913,0.024352157972823713,2.0
2007-12-04,2.079318735076687,2.109094078134679,1.947709118294532,2.103311346101449,2.157165726483752,1.9100658916967055,1.9671171805531755,1.7455034721666212,1.094277910158391,-0.640173100964525,-0.11522304441386383,2.0
2007-12-05,1.9886745117538005,2.079318735076687,2.0772441178091428,2.01846698198694,2.2053695687398998,1.5001132336977088,1.9477381857147655,1.7549371978933117,0.8547959639230951,-0.28667856353653326,-0.08831157904680217,1.0
2007-12-06,1.937208008830861,1.9886745117538005,2.185652218822884,2.196657033209416,2.174125868499684,1.792429450084055,1.8692807148901642,1.7668298135342266,1.0144890222893743,0.003981379494972792,-0.143135074048829,1.0
2007-12-07,1.938027321353595,1.937208008830861,2.089006670234447,2.107939495303388,2.270758186121899,1.658382406136136,1.8997612008157654,1.7846347474859594,0.9292559211190543,0.09693528526880875,-0.22343253723775808,1.0
2007-12-10,1.930940687852011,1.938027321353595,2.109094078134679,2.031957048608922,2.165421874950326,1.3884493751084692,1.9015586084722234,1.7846094529717413,0.7780130116403988,-0.38741258712267523,-0.23268355482904265,1.0
2007-12-11,1.8603143620831408,1.930940687852011,2.079318735076687,1.947709118294532,2.073044823868268,1.8172814430510387,1.9714133248572832,1.7925321137401367,1.0138069098573985,0.11570175822654072,-0.14722662256096333,1.0
2007-12-12,1.9000125311414997,1.8603143620831408,1.9886745117538005,2.0772441178091428,1.982904897332733,2.462155522378511,2.193632423378751,1.8653373289508568,1.3199518843936553,1.2436811492121769,0.12734960795569153,1.0
2007-12-17,2.1576782161864503,2.256256006416536,1.930940687852011,2.109094078134679,2.216548176801912,2.579302080546729,1.9948256553592267,1.8811096184400278,1.3711599022526397,0.7538591429744447,0.07446906119527669,2.0
2007-12-18,2.0647073930332214,2.1576782161864503,1.8603143620831408,2.079318735076687,2.151442726865503,2.558057257925829,1.986165412453509,1.88793956203849,1.3549465826987512,0.05455378705852683,-0.05991831069861764,2.0
2007-12-19,2.0143796109406664,2.0647073930332214,1.9000125311414997,1.9886745117538005,2.103311346101449,1.3188849757000172,2.0089850183269338,1.8934993495338874,0.6965331020708722,-0.5392811136090513,-0.022359394984146224,1.0
2007-12-20,1.9758342215137636,2.0143796109406664,2.2694141911021704,1.937208008830861,2.01846698198694,1.0492605731177715,1.8446067663166852,1.8969238688881993,0.5531379462965748,-0.2662906148069143,-0.21923702983004117,1.0
2007-12-21,1.901303048789847,1.9758342215137636,2.256256006416536,1.938027321353595,2.196657033209416,1.36109400338656,1.8893489712354528,1.9039552455508748,0.7148770994313746,0.17477762127374072,-0.10403419324711766,1.0
2007-12-24,1.8908620133714795,1.901303048789847,2.1576782161864503,1.930940687852011,2.107939495303388,1.3178868637700267,1.8754636735813393,1.8882883757548083,0.6979266941910955,0.3139423495981487,-0.13786712570613271,1.0
2007-12-26,1.8101534276913125,1.8908620133714795,2.0647073930332214,1.8603143620831408,2.031957048608922,1.0096183447497744,1.900884134796763,1.8914511271793242,0.5337797684761721,0.8377987995050074,-0.052289084020228346,1.0
2007-12-27,1.7777089821863834,1.8101534276913125,2.0143796109406664,1.9000125311414997,1.947709118294532,0.9426328855591837,1.7908041029363577,1.8528042981142498,0.5087600922118856,0.7148156489917712,0.13017095604633985,1.0
2007-12-28,1.722582145609532,1.7777089821863834,1.9758342215137636,2.2694141911021704,2.0772441178091428,1.052179401247944,1.6697262845711203,1.851390169251956,0.5683185633815216,0.6560793836648959,0.2244341220885085,1.0
2007-12-31,1.680452630615744,1.722582145609532,1.901303048789847,2.256256006416536,2.185652218822884,0.8807684852388363,1.6697338789728626,1.8299894952710467,0.4812970170128667,0.3019768248362986,0.2011732745952989,1.0
2008-01-02,1.612648324454336,1.680452630615744,1.8908620133714795,2.1576782161864503,2.089006670234447,1.9693026431538456,1.7967445154769819,1.8937194628702523,1.0399125539793705,1.100355524431862,0.5070746629180944,1.0
2008-01-03,2.0153862923330235,1.612648324454336,1.8101534276913125,2.0647073930332214,2.109094078134679,2.0473112336679122,1.7806066195493142,1.894787491934034,1.0804964896502431,0.7837654104413927,0.412305994151244,1.0
2008-01-04,1.927941951833864,2.0153862923330235,1.7777089821863834,2.0143796109406664,2.079318735076687,2.1658256734174652,1.794890472018235,1.8886736608591672,1.1467442567247008,0.43894553000812353,0.38710396342078,1.0
2008-01-07,1.8638202272087412,1.927941951833864,1.722582145609532,1.9758342215137636,1.9886745117538005,2.4942394495089917,1.8730901789950256,1.921188135076286,1.298279644752205,0.13294002779211223,0.3243433105000908,1.0
