Date,Close,return,garch_vol,regimes
2007-07-31,77.05000305175781,1.7296081660109541,1.6818574643719921,LOW
2007-08-01,75.3499984741211,-2.206365360550022,1.6936404222832695,LOW
2007-08-02,75.76000213623047,0.5441322765921353,1.7673362932497567,LOW
2007-08-03,74.75,-1.3331601211075683,1.7001657080620445,LOW
2007-08-06,71.16999816894531,-4.789300108434369,1.6858326410530322,LOW
2007-08-07,71.80000305175781,0.8852113236212045,2.1986704185336485,LOW
2007-08-08,70.98999786376953,-1.1281408823957562,2.1130037568993973,LOW
2007-08-09,70.20999908447266,-1.0987446158171488,2.049834329252868,LOW
2007-08-10,70.38999938964844,0.2563741739395553,1.9899371314560825,LOW
2007-08-13,70.2300033569336,-0.2272993807389767,1.9028475400648284,LOW
2007-08-14,70.51000213623047,0.3986882613031151,1.8223911076994215,LOW
2007-08-15,71.63999938964844,1.6026056150654,1.7481826976325887,LOW
2007-08-16,69.7699966430664,-2.610277446278475,1.7417016971737431,LOW
2007-08-17,70.44000244140625,0.9603064792556903,1.859946980286424,LOW
2007-08-20,69.8499984741211,-0.8375978802328099,1.8016771710294426,LOW
2007-08-21,68.69000244140625,-1.6606958597781718,1.7474066566270383,LOW
2007-08-22,68.69999694824219,0.014550162295390301,1.7561318287077454,LOW
2007-08-23,69.86000061035156,1.6885061333893558,1.6831363545034081,LOW
2007-08-24,70.62000274658203,1.087893114214844,1.6909888350794215,LOW
2007-08-27,70.94999694824219,0.46728149083246073,1.6529112524723708,LOW
2007-08-28,70.55000305175781,-0.563768729653602,1.5917282245777484,LOW
2007-08-29,72.12999725341797,2.2395381053364583,1.5415218188907251,LOW
2007-08-30,71.9000015258789,-0.31886279813793106,1.6275884939347822,LOW
2007-08-31,72.69000244140625,1.0987495114906265,1.567361961780757,LOW
2007-09-04,73.91999816894531,1.692111275591901,1.5406276618635453,LOW
2007-09-05,74.33999633789062,0.5681793551798986,1.564982397722161,LOW
2007-09-06,74.7699966430664,0.5784238987870616,1.5129502250943672,LOW
2007-09-07,75.06999969482422,0.4012345395572936,1.4651311047232096,LOW
2007-09-10,75.4800033569336,0.5461618006875391,1.4158367116140005,LOW
2007-09-11,76.37999725341797,1.1923607001293357,1.374350160975537,LOW
2007-09-12,77.68000030517578,1.702020291313433,1.372719540711159,LOW
2007-09-13,77.12000274658203,-0.7209031364491914,1.4192270231024602,LOW
2007-09-14,76.22000122070312,-1.167014385147691,1.3899446528547243,LOW
2007-09-17,76.9800033569336,0.9971164052199333,1.3937778226177533,LOW
2007-09-18,77.58999633789062,0.792404461362084,1.3763119179512087,LOW
2007-09-19,78.47000122070312,1.1341731206948813,1.3485201206927069,LOW
2007-09-20,79.08999633789062,0.7901046355838659,1.3450717628024154,LOW
2007-09-21,79.30000305175781,0.26552879452665934,1.3198707826490503,LOW
2007-09-24,78.91000366210938,-0.49180249008804466,1.278767309116988,LOW
2007-09-25,77.62000274658203,-1.6347748772780335,1.250562553091838,LOW
2007-09-26,77.43000030517578,-0.24478540927984627,1.3197913909326016,LOW
2007-09-27,80.02999877929688,3.357869642094391,1.2804419455450438,LOW
2007-09-28,79.16999816894531,-1.0745978051595828,1.6026639541449215,ELEVATED
2007-10-01,77.63999938964844,-1.9325487112326623,1.5786369067737198,ELEVATED
2007-10-02,77.37999725341797,-0.33488168247607364,1.6360079894168174,ELEVATED
2007-10-03,77.37999725341797,0.0,1.5755600956349685,ELEVATED
2007-10-04,78.97000122070312,2.0547997204987345,1.5147174048741472,ELEVATED
2007-10-05,78.9000015258789,-0.08864086835782548,1.5820055266841893,ELEVATED
2007-10-08,76.58000183105469,-2.9404304815675686,1.5212776915881465,ELEVATED
2007-10-09,77.48999786376953,1.1882946081960277,1.7297336789533153,ELEVATED
2007-10-10,78.5999984741211,1.4324437229989107,1.6944918859981568,ELEVATED
2007-10-11,80.1500015258789,1.9720140990437063,1.679600054435496,ELEVATED
2007-10-12,80.55000305175781,0.49906614880070865,1.7157418732008132,ELEVATED
2007-10-15,82.75,2.7312189508280627,1.6509652694789627,ELEVATED
2007-10-16,83.55000305175781,0.9667710595260504,1.7853493069391502,HIGH
2007-10-17,83.12999725341797,-0.5026999198068927,1.7331029294235205,ELEVATED
2007-10-18,84.5999984741211,1.7683162146894915,1.670446109857397,ELEVATED
2007-10-19,83.79000091552734,-0.9574439399564816,1.687167917478816,ELEVATED
2007-10-22,83.2699966430664,-0.6206042090692643,1.6484217216874684,ELEVATED
2007-10-23,82.8499984741211,-0.5043811527285391,1.5961666803016565,ELEVATED
2007-10-24,84.37000274658203,1.8346461079727483,1.5434803043730299,ELEVATED
2007-10-25,87.4800033569336,3.686144967534166,1.5820861446343095,ELEVATED
2007-10-26,88.69000244140625,1.3831721971198974,1.8858960858236766, CRISIS
2007-10-29,90.31999969482422,1.837859069284442,1.8499026663067353,HIGH
2007-10-30,87.44000244140625,-3.1886595030436116,1.853423885465282,HIGH
2007-10-31,90.62999725341797,3.6482098844282884,2.0352019572659015, CRISIS
2007-11-01,89.72000122070312,-1.0040781863540515,2.235717293651951, CRISIS
2007-11-02,92.08000183105469,2.630406351139225,2.1571657264837514, CRISIS
2007-11-05,90.48999786376953,-1.7267636138870168,2.2053695687398993, CRISIS
2007-11-06,93.26000213623047,3.061116518790419,2.1741258684996834, CRISIS
2007-11-07,93.23999786376953,-0.02145000214744952,2.270758186121899, CRISIS
2007-11-08,92.79000091552734,-0.4826222206693598,2.165421874950326, CRISIS
2007-11-09,93.18000030517578,0.4203032501352011,2.0730448238682677,HIGH
2007-11-12,91.9800033569336,-1.287826727100294,1.982904897332733,HIGH
2007-11-13,88.83000183105469,-3.424659068183711,1.9397953408211983,HIGH
2007-11-14,91.36000061035156,2.8481354577799767,2.141345491437317, CRISIS
2007-11-15,90.2300033569336,-1.2368621342696562,2.216548176801912, CRISIS
2007-11-16,91.62000274658203,1.540506857957058,2.151442726865503, CRISIS
2007-11-19,92.27999877929688,0.7203623804076686,2.103311346101449,HIGH
2007-11-20,95.48999786376953,3.47854261696503,2.01846698198694,HIGH
2007-11-21,94.83999633789062,-0.6807011628654824,2.196657033209416, CRISIS
2007-11-23,95.76000213623047,0.9700609804560667,2.107939495303388,HIGH
2007-11-26,95.31999969482422,-0.4594845776844214,2.031957048608922,HIGH
2007-11-27,92.5199966430664,-2.937476983552545,1.9477091182945319,ELEVATED
2007-11-28,89.80999755859375,-2.9290955283186815,2.0772441178091428,HIGH
2007-11-29,90.22000122070312,0.4565234085903258,2.185652218822884, CRISIS
2007-11-30,88.26000213623047,-2.1724662579841403,2.089006670234447,HIGH
2007-12-03,89.80000305175781,1.7448457718710841,2.109094078134679,HIGH
2007-12-04,89.52999877929688,-0.3006728989812135,2.079318735076687,HIGH
2007-12-05,88.48999786376953,-1.1616228411787222,1.9886745117538005,ELEVATED
